,Sect1Risk1,Sect1Risk2,Sect1Risk3,Sect1Risk4,Sect1Risk5,Sect2Risk1,Sect2Risk2,Sect2Risk3,Sect2Risk4,Sect2Risk5,Sect3Risk1,Sect3Risk2,Sect3Risk3,Sect3Risk4,Sect3Risk5,Sect4Risk1,Sect4Risk2,Sect4Risk3,Sect4Risk4,Sect4Risk5,Sect5Risk1,Sect5Risk2,Sect5Risk3,Sect5Risk4,Sect5Risk5,ContractReviewNumber,SalesOrderText,PartText
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13344,Sales Order,1TD1135D17306-2001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13344,Sales Order,1TD1135D17306-2001
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13344,Sales Order,1TD1135D17306-2003
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ECmaile frank ve,esearch.com,
0,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,MSa VU AT (UCN EU IK Taols
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A\mactArF rreanarnkh nnm\ £,> Antrobus (nicole.antro,iimant a-cinnad Ay Nicnla Antronhiie (nic
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13344,Sales Order,1TD1135D17306-2001
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13344,Sales Order,1TD1135D17306-2003
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13346,Sales Order,1TD1130D07012-9503
0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D3011-2001
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,13347,Sales Order,A090512D3012-1001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4014-1001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D5011-2001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D5011-2002
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D5011-2003
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D5011-2004
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4011-2001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4011-2001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4011-2005
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4011-2006
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4012-2001
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4012-2002
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4012-2003
0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,13347,Sales Order,A090512D4012-2004
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13349,Sales Order,1TD13G1A21202-9502
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13350,Sales Order,1TD13G1A21203-9502
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13352,Sales Order,366605-11
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,True,True,False,13353,Sales Order,366605-11
0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13355,Sales Order,1TD1135D57605-2005-801
0,True,True,True,True,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13355,Sales Order,1TD1135D57605-2006-801
0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13355,Sales Order,1TD1135D57605-2007-801
0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13355,Sales Order,1TD1135D57605-2008-801
0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13355,Sales Order,1TD1135D57605-2009-801
0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13355,Sales Order,1TD1135D57605-2010-801
0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13355,Sales Order,1TD1135D57605-2011-801
0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13355,Sales Order,1TD1135D57605-2012-801
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,13104,Sales Order,1TD1135D19202-2007
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13014,Sales Order,1TD1135D19202-2009
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,13104,Sales Order,1TD1135D19202-2011
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,13105,Sales Order,1TD1135D57301-2005-801
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13105,Sales Order,1TD1135D57301-2006-801
0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,13105,Sales Order,1TD1135D57301-2007-801
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,13105,Sales Order,1TD1135D57301-2008-801
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13111,Sales Order,1TD1135D57303-2005-801
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,13111,Sales Order,1TD1135D57303-2006-801
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,13114,Sales Order,1TD1135D37419-1005-701
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13114,Sales Order,1TD1135D37419-1007-701
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,13115,Sales Order,1TD1135D37420-1003-701
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13115,Sales Order,1TD1135D37420-1004-701
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,13121,Sales Order,1TD1135D37313-2003-801
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13121,Sales Order,1TD1135D37313-2004-801
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13213,Sales Order,60P5750903M003-01A
0,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,13314,Sales Order,1TD1135D77215-1003-702
0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,13314,Sales Order,1TD1135D77215-1004-702
0,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13335,Sales Order,366605-11
0,True,True,True,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13336,Sales Order,366605-11
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13337,Sales Order,366707-3
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13338,Sales Order,366605-11
0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,13339,Sales Order,1TD1367A20524-2003
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13339,Sales Order,1TD1367A20513-2005
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13340,Sales Order,1TD1133D07049-2005
0,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13340,Sales Order,1TD1133D07049-2009
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13341,Sales Order,388174-11
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,13348,Sales Order,1TD13G1A21201-9502
0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,13351,Sales Order,1TD13G1D11106-2327
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13351,Sales Order,1TD13G1D11106-2329
0,True,True,True,True,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,13354,Sales Order,1TD1150D07030-2003
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13356,Sales Order,60P5755822M002-02A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13357,Sales Order,60P5755821M002-01A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13358,Sales Order,60P2815802M003-02A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13359,Sales Order,60P5755825M002-01A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13360,Sales Order,60P2815801M003-01A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13361,Sales Order,60P5755826M002-02A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13362,Sales Order,60P5755823M002-01A
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13363,Sales Order,60P5755824M002-02A
0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,13364,Sales Order,1TD13G3A13111-1001
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13364,Sales Order,1TD13G3A13111-1001
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13365,Sales Order,1TD1363A20704-1006
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,13366,Sales Order,70301-02116-042
0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13367,Sales Order,2CBE30916-2001
0,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,13367,Sales Order,2CBE30881-2001
0,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,13368,Sales Order,366605-11
